date,time,chamber_temperature_c,d_t_m_v,wet_bulb_depression_m_v,corrected_water_potential_m_pa,intercept,slope,edbo,correction_for_d_t_m_pa,internal_battery_voltage_v,internal_battery_temperature_c,external_power_supply_present,external_power_supply_voltage_v,external_power_supply_current_m_a,diagnostic_comment,dt
2023-02-20,08:00:01,9.14,-0.34,5.1,-2.08,0.37,-4.21,-0.33,-0.04,3.75,15.6,not present,0,0,NA,2023-02-20T15:00:01Z
2023-02-20,08:30:00,9.92,-0.29,5.41,-2.12,0.37,-4.21,-0.27,-0.04,3.76,17.2,not present,0,0,NA,2023-02-20T15:30:00Z
2023-02-20,09:00:00,10.71,-0.43,5.68,-2.17,0.37,-4.21,0.02,-0.06,4.19,20.9,present,19.94,51.3,NA,2023-02-20T16:00:00Z
2023-02-20,09:30:00,12.07,-0.33,6.1,-2.18,0.37,-4.21,-0.25,-0.04,4.19,22.4,present,20.19,42.6,NA,2023-02-20T16:30:00Z
2023-02-20,10:00:00,13.15,-0.47,6.93,-2.4,0.37,-4.21,0.46,-0.06,4.19,23.4,present,20.52,39.9,NA,2023-02-20T17:00:00Z
2023-02-20,10:30:00,14.01,-0.56,7.58,-2.55,0.37,-4.21,0.73,-0.07,4.19,24.1,present,20.65,38.09,NA,2023-02-20T17:30:00Z
2023-02-20,11:00:00,15.29,-0.93,8.75,-2.86,0.37,-4.21,1.27,-0.13,4.19,25.7,present,19.98,38.7,NA,2023-02-20T18:00:00Z
2023-02-20,11:30:01,15.7,-0.75,8.43,-2.69,0.37,-4.21,0.99,-0.1,4.2,26.2,present,20.78,36.59,NA,2023-02-20T18:30:01Z
2023-02-20,12:00:01,15.8,-0.66,7.93,-2.51,0.37,-4.21,0.38,-0.09,4.2,25.9,present,20.39,36.3,NA,2023-02-20T19:00:01Z
2023-02-20,12:30:01,15.76,-0.62,7.79,-2.46,0.37,-4.21,0.45,-0.08,4.2,25.6,present,20.59,35.7,NA,2023-02-20T19:30:01Z
2023-02-20,13:00:01,16.36,-0.54,8.13,-2.5,0.37,-4.21,0.23,-0.07,4.2,26.3,present,21.08,34.2,NA,2023-02-20T20:00:01Z
2023-02-20,13:30:01,17.34,-0.61,9.09,-2.72,0.37,-4.21,0.8,-0.08,4.2,27.6,present,20.1,36,NA,2023-02-20T20:30:01Z
2023-02-20,14:00:01,17.57,-0.6,8.91,-2.64,0.37,-4.21,0.57,-0.08,4.2,27.8,present,20.27,34.8,NA,2023-02-20T21:00:01Z
2023-02-20,14:30:00,17.73,-0.49,9.2,-2.7,0.37,-4.21,0.76,-0.06,4.2,27.4,present,20.37,34.2,NA,2023-02-20T21:30:00Z
2023-02-20,15:00:00,19.28,-0.33,10.62,-2.94,0.37,-4.21,1.08,-0.04,4.2,28.7,present,20.55,34.2,NA,2023-02-20T22:00:00Z
2023-02-20,15:30:00,20.18,-0.43,11.03,-2.98,0.37,-4.21,0.94,-0.05,4.2,29.6,present,20.72,34.2,NA,2023-02-20T22:30:00Z
2023-02-20,16:00:01,20.25,-0.38,10.83,-2.91,0.37,-4.21,1.14,-0.05,4.2,30.6,present,20.37,34.2,NA,2023-02-20T23:00:01Z
2023-02-20,16:30:01,19.86,-0.47,10.13,-2.77,0.37,-4.21,0.84,-0.06,4.2,31.2,present,20.51,33.59,NA,2023-02-20T23:30:01Z
2023-02-20,17:00:00,19.48,-0.62,9.75,-2.72,0.37,-4.21,0.81,-0.08,4.2,30.7,present,20.54,33.59,NA,2023-02-21T00:00:00Z
2023-02-20,17:30:00,18.92,-0.6,8.79,-2.49,0.37,-4.21,0.19,-0.08,4.2,29.7,present,19.31,34.8,NA,2023-02-21T00:30:00Z
